Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_Currency,salary_in_usd,Salary_In_USD
2022-01-01,Data Analyst,SE,FT,131000,US,US,M,0,USD,131000.0,131000.0
2022-01-01,Data Analyst,SE,FT,130050,US,US,M,100,USD,130050.0,130050.0
2022-01-01,BI Data Analyst,MI,FT,100000,FR,FR,M,50,EUR,105066.0,100000.0
2022-01-01,Data Analyst,MI,FT,100000,CA,CA,M,0,USD,100000.0,100000.0
2022-01-01,Data Analyst,SE,FT,99000,US,US,M,0,USD,99000.0,99000.0
2022-01-01,Data Analyst,SE,FT,99050,US,US,M,100,USD,99050.0,99050.0
2022-01-01,Data Analyst,SE,FT,99450,US,US,M,100,USD,99450.0,99450.0
2022-01-01,Data Analyst,SE,FT,132000,US,US,M,0,USD,132000.0,132000.0
2022-01-01,Data Analyst,SE,FT,175000,US,US,M,100,USD,175000.0,175000.0
2022-01-01,Data Analyst,MI,FT,97500,US,US,L,100,USD,97500.0,97500.0
2022-01-01,Data Analyst,SE,FT,99750,US,US,M,100,USD,99750.0,99750.0
2022-01-01,Financial Data Analyst,EN,FT,100000,US,US,L,50,USD,100000.0,100000.0
2022-01-01,Business Data Analyst,SE,FT,100000,US,US,L,100,USD,100000.0,100000.0
2022-01-01,Data Analyst,SE,FT,136260,US,US,M,100,USD,136260.0,136260.0
2022-01-01,Data Analyst,SE,FT,136600,US,US,M,100,USD,136600.0,136600.0
2022-01-01,Data Analyst,SE,FT,85700,US,US,M,0,USD,85700.0,85700.0
2022-01-01,Data Analyst,SE,FT,128875,US,US,M,100,USD,128875.0,128875.0
2022-01-01,Data Analyst,SE,FT,129000,US,US,M,0,USD,129000.0,129000.0
2022-01-01,Data Analyst,SE,FT,177000,US,US,M,0,USD,177000.0,177000.0
2022-01-01,Data Analyst,SE,FT,166700,US,US,M,0,USD,166700.0,166700.0
2022-01-01,Data Analyst,MI,FT,167000,US,US,M,100,USD,167000.0,167000.0
2022-01-01,Data Analyst,MI,FT,106260,US,US,M,0,USD,106260.0,106260.0
2022-01-01,Data Analyst,SE,FT,106260,US,US,M,100,USD,106260.0,106260.0
2022-01-01,Data Analyst,SE,FT,139600,US,US,M,0,USD,139600.0,139600.0
2022-01-01,Data Analyst,SE,FT,109280,US,US,M,100,USD,109280.0,109280.0
2022-01-01,Data Analyst,MI,FT,109000,US,US,M,0,USD,109000.0,109000.0
2022-01-01,Data Analyst,MI,FT,85000,US,US,M,0,USD,85000.0,85000.0
2022-01-01,Data Analyst,SE,FT,84900,US,US,M,100,USD,84900.0,84900.0
2022-01-01,Data Analyst,MI,FT,85000,CA,CA,M,0,USD,85000.0,85000.0
2022-01-01,Data Analyst,SE,FT,201000,US,US,M,100,USD,201000.0,201000.0
2022-01-01,Data Analyst,SE,FT,90320,US,US,M,100,USD,90320.0,90320.0
2022-01-01,Data Analyst,SE,FT,130000,US,US,M,0,USD,130000.0,130000.0
2022-01-01,Data Analyst,SE,FT,169000,US,US,M,0,USD,169000.0,169000.0
2022-01-01,Data Analyst,SE,FT,90320,US,US,M,0,USD,90320.0,90320.0
2022-01-01,Data Analyst,SE,FT,170000,US,US,M,100,USD,170000.0,170000.0
2022-01-01,Data Analyst,SE,FT,105000,US,US,M,0,USD,105000.0,105000.0
2022-01-01,Data Analyst,MI,FT,105000,US,US,M,0,USD,105000.0,105000.0
2022-01-01,Data Analyst,SE,FT,105000,US,US,M,100,USD,105000.0,105000.0
2022-01-01,Data Analyst,SE,CT,90000,US,US,M,100,USD,90000.0,90000.0
2022-01-01,Data Analyst,SE,FT,89200,US,US,M,100,USD,89200.0,89200.0
2022-01-01,Business Data Analyst,MI,FT,90000,CA,CA,L,50,CAD,69133.0,90000.0
2022-01-01,Data Analyst,MI,FT,90000,SG,SG,M,50,SGD,65257.0,90000.0
2022-01-01,Data Analyst,MI,FT,136000,US,US,M,100,USD,136000.0,136000.0
2022-01-01,Data Analyst,SE,FT,130000,CA,CA,M,100,USD,130000.0,130000.0
2022-01-01,Data Analyst,EX,FT,130000,US,US,M,100,USD,130000.0,130000.0
2022-01-01,Data Analyst,MI,FT,130000,US,US,M,100,USD,130000.0,130000.0
2022-01-01,Data Analyst,SE,FT,130000,US,US,M,100,USD,130000.0,130000.0
2022-01-01,Data Analyst,SE,FT,175950,US,US,M,100,USD,175950.0,175950.0
2022-01-01,Data Analyst,SE,FT,120000,US,US,M,0,USD,120000.0,120000.0
2022-01-01,Data Analyst,EN,PT,34320,US,US,S,100,USD,34320.0,34320.0
2022-01-01,Data Analyst,MI,FT,35000,GB,GB,M,0,GBP,43096.0,35000.0
2022-01-01,Data Analyst,SE,FT,35000,ES,ES,M,0,EUR,36773.0,35000.0
2022-01-01,Data Analyst,MI,FT,350000,GB,GB,M,0,GBP,430967.0,350000.0
2022-01-01,Data Analyst,MI,FT,20000,GR,GR,S,100,USD,20000.0,20000.0
2022-01-01,Business Data Analyst,MI,FT,1440000,IN,IN,L,50,INR,18314.0,18720.0
2022-01-01,Business Data Analyst,MI,FT,1400000,IN,IN,M,100,INR,17805.0,18200.0
2022-01-01,Data Analyst,EN,FT,20000,CR,US,M,50,USD,20000.0,20000.0
2022-01-01,Data Analyst,EN,PT,24000,ES,US,L,100,EUR,25216.0,24000.0
2022-01-01,Data Analyst,SE,FT,150075,US,US,M,100,USD,150075.0,150075.0
2022-01-01,Data Analyst,EN,FT,27000,FR,FR,M,50,EUR,28368.0,27000.0
2022-01-01,Data Analyst,MI,FT,30000,GR,GR,M,100,EUR,31520.0,30000.0
2022-01-01,Data Analyst,MI,FT,30000,ES,ES,M,100,EUR,31520.0,30000.0
2022-01-01,Data Analyst,MI,FT,30000,GB,GB,M,100,GBP,36940.0,30000.0
2022-01-01,Data Analyst,MI,FT,150000,US,US,M,0,USD,150000.0,150000.0
2022-01-01,Business Data Analyst,EN,FT,48000,US,US,L,50,USD,48000.0,48000.0
2022-01-01,Data Analyst,MI,FT,150000,US,US,M,100,USD,150000.0,150000.0
2022-01-01,Data Analyst,SE,FT,150000,US,US,M,0,USD,150000.0,150000.0
2022-01-01,Business Data Analyst,MI,FT,150000,US,US,L,100,USD,150000.0,150000.0
2022-01-01,Data Analyst,EN,FT,48000,US,US,M,0,USD,48000.0,48000.0
2022-01-01,Data Analyst,SE,FT,48000,ES,ES,M,0,EUR,50432.0,48000.0
2022-01-01,Data Analyst,SE,FT,150000,US,US,M,100,USD,150000.0,150000.0
2022-01-01,BI Data Analyst,MI,FT,48000,DE,DE,S,100,EUR,50432.0,48000.0
2022-01-01,Data Analyst,EN,FT,150000,US,US,L,100,USD,150000.0,150000.0
2022-01-01,Data Analyst,EN,FT,50000,AR,AR,L,100,USD,50000.0,50000.0
2022-01-01,Data Analyst,SE,FT,50000,GB,GB,M,0,GBP,61566.0,50000.0
2022-01-01,Business Data Analyst,EN,FT,50000,IN,AS,L,100,USD,50000.0,50000.0
2022-01-01,Data Analyst,SE,FT,154560,US,US,M,0,USD,154560.0,154560.0
2022-01-01,Data Analyst,MI,FT,50000,US,US,M,100,USD,50000.0,50000.0
2022-01-01,Data Analyst,MI,FT,50000,GB,GB,M,0,GBP,61566.0,50000.0
2022-01-01,Data Analyst,SE,FT,119000,US,US,M,100,USD,119000.0,119000.0
2022-01-01,Data Analyst,SE,FT,119000,US,US,M,0,USD,119000.0,119000.0
2022-01-01,Data Analyst,SE,FT,38000,ES,ES,M,0,EUR,39925.0,38000.0
2022-01-01,Data Analyst,MI,FT,40000,ES,ES,M,100,EUR,42026.0,40000.0
2022-01-01,Data Analyst,MI,FT,40000,GB,GB,M,100,GBP,49253.0,40000.0
2022-01-01,Data Analyst,MI,FT,40000,GR,GR,M,100,EUR,42026.0,40000.0
2022-01-01,Data Analyst,EN,FT,46000,US,US,L,100,USD,46000.0,46000.0
2022-01-01,Data Analyst,MI,FT,45000,GB,GB,M,0,GBP,55410.0,45000.0
2022-01-01,Data Analyst,EN,FT,50000,US,US,L,50,USD,50000.0,50000.0
2022-01-01,Data Analyst,EN,FT,64000,US,US,L,100,USD,64000.0,64000.0
2022-01-01,Data Analyst,SE,FT,57000,GB,GB,M,0,GBP,70186.0,57000.0
2022-01-01,BI Data Analyst,EN,FT,57000,US,US,L,100,USD,57000.0,57000.0
2022-01-01,Data Analyst,SE,FT,115000,US,US,M,100,USD,115000.0,115000.0
2022-01-01,Data Analyst,SE,FT,115000,US,US,L,0,USD,115000.0,115000.0
2022-01-01,Data Analyst,SE,FT,115934,US,US,M,100,USD,115934.0,115934.0
2022-01-01,Data Analyst,SE,FT,115934,US,US,M,0,USD,115934.0,115934.0
2022-01-01,BI Data Analyst,MI,FT,65000,AU,AU,L,50,AUD,45050.0,65000.0
2022-01-01,Data Analyst,MI,FT,65000,CA,CA,M,0,USD,65000.0,65000.0
2022-01-01,Data Analyst,SE,FT,65000,US,US,M,100,USD,65000.0,65000.0
2022-01-01,Data Analyst,MI,FT,65000,US,US,M,100,USD,65000.0,65000.0
2022-01-01,Data Analyst,MI,FT,65000,US,US,M,0,USD,65000.0,65000.0
2022-01-01,Data Analyst,MI,FT,60000,US,US,M,100,USD,60000.0,60000.0
2022-01-01,Data Analyst,SE,FT,60000,US,US,M,100,USD,60000.0,60000.0
2022-01-01,Data Analyst,SE,FT,61300,CA,CA,M,100,USD,61300.0,61300.0
2022-01-01,Data Analyst,MI,FT,62000,US,US,M,0,USD,62000.0,62000.0
2022-01-01,Data Analyst,MI,FT,58000,US,US,S,0,USD,58000.0,58000.0
2022-01-01,Data Analyst,SE,FT,123648,US,US,M,0,USD,123648.0,123648.0
2022-01-01,Admin & Data Analyst,SE,FT,60000,IN,IN,M,100,USD,60000.0,60000.0
2022-01-01,Data Analyst,MI,FT,115500,US,US,M,100,USD,115500.0,115500.0
2022-01-01,BI Data Analyst,EN,FT,58000,DE,DE,L,0,EUR,60938.0,58000.0
2022-01-01,Data Analyst,EN,FT,15000,ID,ID,L,0,USD,15000.0,15000.0
2022-01-01,Data Analyst,EN,FT,67000,CA,CA,M,0,USD,67000.0,67000.0
2022-01-01,Data Analyst,SE,FT,117000,US,US,M,100,USD,117000.0,117000.0
2022-01-01,Data Analyst,EN,FT,52000,CA,CA,M,0,USD,52000.0,52000.0
2022-01-01,Data Analyst,MI,FT,52500,US,US,M,0,USD,52500.0,52500.0
2022-01-01,Data Analyst,SE,FT,149000,US,US,M,100,USD,149000.0,149000.0
2022-01-01,Data Analyst,SE,FT,52500,US,US,M,0,USD,52500.0,52500.0
2022-01-01,Data Analyst,SE,FT,116150,US,US,M,100,USD,116150.0,116150.0
2022-01-01,Data Analyst,EN,FT,55000,US,US,S,100,USD,55000.0,55000.0
2022-01-01,Data Analyst,EN,FT,55000,US,US,M,0,USD,55000.0,55000.0
2022-01-01,Data Analyst,SE,FT,55000,US,US,M,100,USD,55000.0,55000.0
2022-01-01,Data Analyst,MI,FT,66100,US,US,M,100,USD,66100.0,66100.0
2022-01-01,Data Analyst,MI,FT,124000,US,US,M,0,USD,124000.0,124000.0
2022-01-01,Data Analyst,SE,FT,116000,US,US,M,100,USD,116000.0,116000.0
2022-01-01,Data Analyst,SE,FT,116000,US,US,M,0,USD,116000.0,116000.0
2022-01-01,Data Analyst,SE,FT,120600,US,US,M,100,USD,120600.0,120600.0
2022-01-01,Data Analyst,SE,FT,155000,US,US,M,100,USD,155000.0,155000.0
2023-01-01,Data Analyst,SE,FT,125000,US,US,M,0,USD,125000.0,125000.0
2023-01-01,Data Analyst,SE,FT,125000,US,US,M,100,USD,125000.0,125000.0
2023-01-01,Data Analyst,SE,FT,130000,US,US,M,0,USD,130000.0,130000.0
2023-01-01,Data Analyst,EX,FT,125000,US,US,M,100,USD,125000.0,125000.0
2023-01-01,Data Analyst,MI,FT,125000,US,US,M,0,USD,125000.0,125000.0
2023-01-01,Data Analyst,SE,FT,130000,US,US,M,100,USD,130000.0,130000.0
2023-01-01,Data Analyst,EX,FT,125000,US,US,M,0,USD,125000.0,125000.0
2023-01-01,Data Analyst,MI,FT,123000,US,US,M,100,USD,123000.0,123000.0
2023-01-01,Data Analyst,SE,FT,123400,US,US,M,100,USD,123400.0,123400.0
2023-01-01,Data Analyst,MI,FT,124000,US,US,M,0,USD,124000.0,124000.0
2023-01-01,Data Analyst,SE,FT,124000,US,US,M,0,USD,124000.0,124000.0
2023-01-01,Data Analyst,SE,FT,123900,US,US,M,100,USD,123900.0,123900.0
2023-01-01,Data Analyst,MI,FT,130000,US,US,M,0,USD,130000.0,130000.0
2023-01-01,Data Analyst,EN,FT,125000,US,US,M,0,USD,125000.0,125000.0
2023-01-01,Data Analyst,SE,FT,130000,US,US,S,100,USD,130000.0,130000.0
2023-01-01,Data Analyst,SE,FT,120000,US,US,M,0,USD,120000.0,120000.0
2023-01-01,Data Analyst,SE,FT,129000,CA,CA,M,100,USD,129000.0,129000.0
2023-01-01,Data Analyst,SE,FT,129000,US,US,M,0,USD,129000.0,129000.0
2023-01-01,Data Analyst,SE,FT,129150,US,US,M,0,USD,129150.0,129150.0
2023-01-01,Data Analyst,SE,FT,120000,US,US,M,100,USD,120000.0,120000.0
2023-01-01,Data Analyst,MI,FT,120000,US,US,M,100,USD,120000.0,120000.0
2023-01-01,Data Analyst,MI,FT,127075,US,US,M,100,USD,127075.0,127075.0
2023-01-01,Data Analyst,SE,FT,127075,US,US,M,100,USD,127075.0,127075.0
2023-01-01,Data Analyst,MI,FT,120000,US,US,M,0,USD,120000.0,120000.0
2023-01-01,Data Analyst,MI,FT,121000,US,US,M,0,USD,121000.0,121000.0
2023-01-01,Data Analyst,SE,FT,120350,US,US,M,100,USD,120350.0,120350.0
2023-01-01,Data Analyst,MI,FT,128000,US,US,M,0,USD,128000.0,128000.0
2023-01-01,Data Analyst,SE,FT,120500,US,US,M,100,USD,120500.0,120500.0
2023-01-01,Data Analyst,SE,FT,128000,US,US,M,0,USD,128000.0,128000.0
2023-01-01,Data Analyst,SE,FT,120350,US,US,M,0,USD,120350.0,120350.0
2023-01-01,Data Analyst,SE,FT,127876,US,US,M,100,USD,127876.0,127876.0
2023-01-01,Data Analyst,SE,FT,120250,US,US,M,100,USD,120250.0,120250.0
2023-01-01,Data Analyst,SE,FT,128500,US,US,M,0,USD,128500.0,128500.0
2023-01-01,Data Analyst,SE,FT,120000,CA,CA,M,0,USD,120000.0,120000.0
2023-01-01,Data Analyst,SE,FT,120000,GB,GB,M,0,USD,120000.0,120000.0
2023-01-01,Data Analyst,MI,FT,125000,US,US,M,100,USD,125000.0,125000.0
2023-01-01,Data Analyst,SE,FT,125600,US,US,M,0,USD,125600.0,125600.0
2023-01-01,Data Analyst,SE,FT,122000,US,US,M,0,USD,122000.0,122000.0
2023-01-01,Data Analyst,SE,FT,122000,US,US,M,100,USD,122000.0,122000.0
2023-01-01,Data Analyst,SE,FT,125600,US,US,M,100,USD,125600.0,125600.0
2023-01-01,Data Analyst,MI,FT,130000,CA,CA,M,100,USD,130000.0,130000.0
2023-01-01,Financial Data Analyst,MI,FT,130000,US,US,L,100,USD,130000.0,130000.0
2023-01-01,Data Analyst,SE,FT,122720,US,US,M,0,USD,122720.0,122720.0
2023-01-01,Data Analyst,SE,FT,122500,US,US,M,100,USD,122500.0,122500.0
2023-01-01,Data Analyst,SE,FT,126500,US,US,M,100,USD,126500.0,126500.0
2023-01-01,Data Analyst,MI,FT,121500,US,US,M,0,USD,121500.0,121500.0
2023-01-01,Data Analyst,SE,FT,126500,US,US,M,0,USD,126500.0,126500.0
2023-01-01,Data Analyst,SE,FT,121600,US,US,M,100,USD,121600.0,121600.0
2023-01-01,Data Analyst,SE,FT,127000,US,US,M,100,USD,127000.0,127000.0
2023-01-01,Data Analyst,SE,FT,121700,US,US,M,0,USD,121700.0,121700.0
2023-01-01,Data Analyst,SE,FT,121904,US,US,M,0,USD,121904.0,121904.0
2023-01-01,Data Analyst,SE,FT,126000,US,US,M,0,USD,126000.0,126000.0
2023-01-01,Data Analyst,MI,FT,126000,US,US,M,0,USD,126000.0,126000.0
2023-01-01,Data Analyst,SE,FT,126277,US,US,M,100,USD,126277.0,126277.0
2023-01-01,Data Analyst,SE,FT,145000,US,US,M,100,USD,145000.0,145000.0
2023-01-01,Data Analyst,SE,FT,145000,US,US,M,0,USD,145000.0,145000.0
2023-01-01,Data Analyst,SE,FT,143520,US,US,M,0,USD,143520.0,143520.0
2023-01-01,Data Analyst,SE,FT,144100,US,US,M,100,USD,144100.0,144100.0
2023-01-01,Data Analyst,SE,FT,144000,US,US,M,100,USD,144000.0,144000.0
2023-01-01,Data Analyst,EX,FT,145000,US,US,M,0,USD,145000.0,145000.0
2023-01-01,Data Analyst,SE,FT,143000,CA,CA,M,100,USD,143000.0,143000.0
2023-01-01,Data Analyst,SE,FT,142000,US,US,M,100,USD,142000.0,142000.0
2023-01-01,Data Analyst,SE,FT,142000,US,US,M,0,USD,142000.0,142000.0
2023-01-01,Data Analyst,SE,FT,141290,US,US,M,0,USD,141290.0,141290.0
2023-01-01,Data Analyst,MI,FT,142000,US,US,M,0,USD,142000.0,142000.0
2023-01-01,Data Analyst,SE,FT,140700,US,US,M,100,USD,140700.0,140700.0
2023-01-01,Data Analyst,SE,FT,140130,US,US,M,0,USD,140130.0,140130.0
2023-01-01,Data Analyst,SE,FT,143000,US,US,M,100,USD,143000.0,143000.0
2023-01-01,Data Analyst,MI,FT,142500,AU,AU,M,0,USD,142500.0,142500.0
2023-01-01,Data Analyst,MI,FT,143000,US,US,M,0,USD,143000.0,143000.0
2023-01-01,Data Analyst,SE,FT,150000,US,US,M,100,USD,150000.0,150000.0
2023-01-01,Data Analyst,SE,FT,150000,US,US,M,0,USD,150000.0,150000.0
2023-01-01,Data Analyst,EN,FT,150000,US,US,M,0,USD,150000.0,150000.0
