Unnamed: 0,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_Currency,salary_in_usd,Salary_In_USD
23,2020-01-01,Data Engineer,SE,FT,3811299,GR,GR,L,50,,,3811299
24,2020-01-01,BI Data Analyst,MI,FT,7797811,US,US,M,0,,,7797811
37,2020-01-01,Data Science Consultant,MI,FT,8195659,US,US,L,100,,,8195659
25,2020-01-01,Lead Data Scientist,MI,FT,9150493,AE,AE,L,0,,,9150493
52,2020-01-01,Data Analyst,EN,FT,7240825,US,US,L,100,,,7240825
7,2020-01-01,Lead Data Scientist,SE,FT,15118205,US,US,S,100,,,15118205
44,2020-01-01,Data Engineer,MI,FT,8434367,US,US,L,100,,,8434367
20,2020-01-01,Lead Data Engineer,MI,FT,4455892,PT,US,M,100,,,4455892
56,2020-01-01,Principal Data Scientist,SE,FT,11797054,DE,DE,M,100,,,11797054
60,2020-01-01,Data Scientist,MI,FT,11008440,US,US,M,100,,,11008440
28,2020-01-01,Data Engineer,SE,FT,2666454,MX,MX,S,0,,,2666454
46,2020-01-01,ML Engineer,EN,PT,1270407,DE,DE,S,100,,,1270407
4,2020-01-01,Product Data Analyst,MI,FT,1591390,HN,HN,S,0,,,1591390
42,2020-01-01,Data Engineering Manager,EX,FT,6352272,ES,ES,L,50,,,6352272
22,2020-01-01,Product Data Analyst,MI,FT,483146,IN,IN,L,100,,,483146
68,2020-01-01,Data Science Manager,SE,FT,15134119,US,US,M,100,,,15134119
53,2020-01-01,AI Scientist,EN,FT,3651922,DK,DK,S,50,,,3651922
43,2020-01-01,Machine Learning Infrastructure Engineer,MI,FT,3992798,PT,PT,M,0,,,3992798
31,2020-01-01,Data Engineering Manager,MI,FT,4718710,DE,DE,S,100,,,4718710
32,2020-01-01,Big Data Engineer,EN,FT,5569865,US,US,L,100,,,5569865
49,2020-01-01,Data Scientist,MI,FT,8354798,US,US,L,100,,,8354798
47,2020-01-01,Data Scientist,MI,FT,6123510,GB,GB,S,100,,,6123510
14,2020-01-01,Lead Data Analyst,MI,FT,6922547,US,US,L,100,,,6922547
50,2020-01-01,Data Engineer,MI,FT,5580925,FR,FR,L,50,,,5580925
62,2020-01-01,Data Engineer,MI,FT,10407691,ES,US,M,100,,,10407691
71,2020-01-01,Data Scientist,MI,FT,4991076,FR,LU,S,50,,,4991076
17,2020-01-01,Data Engineer,EN,FT,3317173,JP,JP,S,100,,,3317173
29,2020-01-01,Business Data Analyst,EN,CT,7956950,US,US,L,100,,,7956950
51,2020-01-01,Data Analyst,EN,FT,483146,IN,IN,S,0,,,483146
30,2020-01-01,Machine Learning Manager,SE,FT,9317907,CA,CA,L,50,,,9317907
72,2020-01-01,Data Scientist,MI,FT,3357594,FR,FR,S,50,,,3357594
41,2020-01-01,Data Scientist,MI,FT,3641100,PH,US,S,100,,,3641100
36,2020-01-01,Data Engineer,MI,FT,5898487,AT,AT,L,50,,,5898487
33,2020-01-01,Data Scientist,SE,FT,5444782,GR,US,L,100,,,5444782
34,2020-01-01,Research Scientist,MI,FT,35806275,US,US,M,0,,,35806275
15,2020-01-01,Data Analyst,MI,FT,6763408,US,US,L,100,,,6763408
65,2020-01-01,Machine Learning Engineer,SE,FT,3629801,HR,HR,S,100,,,3629801
16,2020-01-01,Data Analyst,MI,FT,636556,PK,PK,L,50,,,636556
18,2020-01-01,Big Data Engineer,SE,FT,9074663,PL,GB,S,100,,,9074663
63,2020-01-01,Data Scientist,EN,PT,1724191,IT,IT,S,50,,,1724191
35,2020-01-01,Data Analyst,MI,FT,3720590,FR,FR,L,50,,,3720590
70,2020-01-01,Data Scientist,SE,FT,7259682,AT,AT,S,0,,,7259682
67,2020-01-01,Data Scientist,EN,FT,3920230,DE,DE,S,0,,,3920230
73,2021-01-01,Research Scientist,EN,FT,6566712,GB,GB,L,50,,,6566712
,2021-01-01,Data Scientist,MI,FT,76760,DE,DE,L,50,EUR,90734,76760
,2021-01-01,Machine Learning Engineer,EN,FT,21000,DE,DE,M,50,EUR,24823,21000
,2021-01-01,Big Data Engineer,MI,FT,18000,MD,MD,S,0,USD,18000,18000
,2021-01-01,Machine Learning Engineer,SE,FT,4900000,IN,IN,L,0,INR,66265,63700
,2021-01-01,Data Scientist,EN,FT,58000,US,US,L,50,USD,58000,58000
74,2021-01-01,BI Data Analyst,EX,FT,11935425,IN,US,L,100,,,11935425
,2021-01-01,Machine Learning Engineer,MI,FT,21000,SI,SI,L,50,EUR,24823,21000
,2021-01-01,Data Scientist,SE,FT,4000000,IN,IN,L,100,INR,54094,52000
,2021-01-01,Data Science Manager,SE,FT,4000000,IN,US,L,50,INR,54094,52000
,2021-01-01,Lead Data Scientist,SE,FT,3000000,IN,IN,L,50,INR,40570,39000
,2021-01-01,Machine Learning Research Engineer,EN,FT,20000,FR,FR,M,50,USD,20000,20000
,2021-01-01,Data Analyst,MI,FT,1250000,IN,IN,L,50,INR,16904,16250
,2021-01-01,Data Architect,MI,FT,170000,US,US,L,100,USD,170000,170000
,2021-01-01,Staff Data Scientist,SE,CT,105000,US,US,M,100,USD,105000,105000
,2021-01-01,Lead Data Analyst,MI,FT,1450000,IN,IN,L,100,INR,19609,18850
,2021-01-01,Machine Learning Developer,EN,FT,15000,TH,TH,L,100,USD,15000,15000
,2021-01-01,Data Engineer,EN,FT,1600000,IN,IN,M,50,INR,21637,20800
,2021-01-01,Big Data Engineer,MI,FT,1672000,IN,IN,L,0,INR,22611,21736
,2021-01-01,Machine Learning Engineer,EN,FT,20000,IN,IN,S,100,USD,20000,20000
,2021-01-01,Machine Learning Engineer,SE,FT,1799997,IN,IN,L,100,INR,24342,23399.961
,2021-01-01,Principal Data Analyst,SE,FT,170000,US,US,M,100,USD,170000,170000
,2021-01-01,Data Engineer,MI,FL,20000,IT,US,L,0,USD,20000,20000
,2021-01-01,Data Scientist,EN,FT,2100000,IN,IN,M,100,INR,28399,27300
,2021-01-01,AI Scientist,EN,FT,1335000,IN,AS,S,100,INR,18053,17355
,2021-01-01,Data Scientist,EN,FT,2200000,IN,IN,L,50,INR,29751,28600
,2021-01-01,Data Scientist,MI,FT,1250000,IN,IN,S,100,INR,16904,16250
,2021-01-01,Big Data Engineer,EN,FT,1200000,IN,IN,L,100,INR,16228,15600
,2021-01-01,Data Engineer,EN,FT,2250000,IN,IN,L,100,INR,30428,29250
,2021-01-01,Data Scientist,MI,FT,76760,DE,DE,L,50,EUR,90734,76760
,2021-01-01,Lead Data Analyst,SE,FT,170000,US,US,L,100,USD,170000,170000
,2021-01-01,Data Scientist,MI,FT,2500000,IN,IN,M,0,INR,33808,32500
,2021-01-01,Lead Data Engineer,SE,FT,276000,US,US,L,0,USD,276000,276000
,2021-01-01,Data Engineer,MI,FT,48000,HK,GB,S,50,GBP,66022,48000
,2021-01-01,ML Engineer,MI,FT,7000000,JP,JP,S,50,JPY,63711,64400
,2021-01-01,Data Engineer,EN,FT,72500,US,US,L,100,USD,72500,72500
,2021-01-01,Machine Learning Infrastructure Engineer,SE,FT,195000,US,US,M,100,USD,195000,195000
,2021-01-01,Data Engineer,MI,FT,111775,US,US,M,0,USD,111775,111775
,2021-01-01,Data Engineer,MI,FT,112000,US,US,L,100,USD,112000,112000
76,2021-01-01,Data Scientist,SE,FT,4232461,FR,FR,L,50,,,4232461
,2021-01-01,Data Engineer,MI,FT,250000,TR,TR,M,100,TRY,28016,250000
,2021-01-01,Data Analyst,MI,FT,62000,US,US,L,0,USD,62000,62000
,2021-01-01,Director of Data Science,EX,FT,250000,US,US,L,0,USD,250000,250000
,2021-01-01,Cloud Data Architect,SE,FT,250000,US,US,L,50,USD,250000,250000
,2021-01-01,Data Analyst,SE,FT,115000,US,US,S,100,USD,115000,115000
,2021-01-01,Data Scientist,MI,FT,73000,US,US,L,0,USD,73000,73000
,2021-01-01,Data Scientist,EN,FT,100000,US,US,M,100,USD,100000,100000
,2021-01-01,BI Data Analyst,MI,FT,100000,US,US,M,100,USD,100000,100000
,2021-01-01,Data Engineer,MI,FT,100000,US,US,L,100,USD,100000,100000
,2021-01-01,Machine Learning Developer,EN,FT,100000,IQ,IQ,S,50,USD,100000,100000
,2021-01-01,Data Scientist,EN,FT,100000,US,US,S,0,USD,100000,100000
,2021-01-01,Data Engineer,SE,FT,65000,RO,GB,S,50,EUR,76833,65000
,2021-01-01,Data Science Consultant,EN,FT,65000,DE,DE,L,0,EUR,76833,65000
,2021-01-01,Data Science Consultant,EN,FT,65000,DE,DE,S,100,EUR,76833,65000
,2021-01-01,Machine Learning Engineer,EN,FT,125000,US,US,S,100,USD,125000,125000
,2021-01-01,Big Data Architect,SE,FT,125000,CA,CA,M,50,CAD,99703,125000
,2021-01-01,Data Science Manager,SE,FT,144000,US,US,L,100,USD,144000,144000
,2021-01-01,Research Scientist,EN,FT,100000,JE,CN,L,0,USD,100000,100000
,2021-01-01,Computer Vision Engineer,SE,FT,102000,BR,BR,M,0,BRL,18907,102000
,2021-01-01,Machine Learning Engineer,MI,FT,74000,JP,JP,S,50,USD,74000,74000
,2021-01-01,Data Analyst,MI,FT,75000,US,US,L,0,USD,75000,75000
,2021-01-01,ML Engineer,MI,FT,8500000,JP,JP,S,50,JPY,77364,78200
75,2021-01-01,Head of Data,EX,FT,18698833,US,US,L,100,,,18698833
,2021-01-01,BI Data Analyst,MI,FT,11000000,HU,US,L,50,HUF,36259,36300
,2021-01-01,Data Scientist,MI,FT,30400000,CL,CL,L,100,CLP,40038,39520
,2021-01-01,Data Analyst,MI,FT,93000,US,US,L,100,USD,93000,93000
,2021-01-01,Data Science Consultant,EX,FT,59000,FR,ES,S,100,EUR,69741,59000
,2021-01-01,Data Engineer,MI,PT,59000,NL,NL,L,100,EUR,69741,59000
,2021-01-01,Principal Data Scientist,SE,FT,220000,US,US,L,0,USD,220000,220000
,2021-01-01,Data Engineer,MI,FT,93150,US,US,M,0,USD,93150,93150
,2021-01-01,Research Scientist,EN,FT,60000,GB,GB,L,50,GBP,82528,60000
,2021-01-01,Data Analyst,EN,FT,60000,US,US,S,100,USD,60000,60000
,2021-01-01,Data Engineer,MI,FT,60000,GB,GB,L,100,GBP,82528,60000
,2021-01-01,Big Data Engineer,MI,FT,60000,ES,RO,M,50,USD,60000,60000
,2021-01-01,Data Scientist,MI,FT,21600,RS,DE,S,100,EUR,25532,21600
,2021-01-01,Data Analyst,MI,FT,135000,US,US,L,100,USD,135000,135000
,2021-01-01,Data Scientist,SE,FT,135000,US,US,L,0,USD,135000,135000
,2021-01-01,ML Engineer,MI,CT,270000,US,US,L,100,USD,270000,270000
,2021-01-01,Data Scientist,MI,FT,95000,CA,CA,L,100,CAD,75774,95000
,2021-01-01,Marketing Data Analyst,SE,FT,75000,GR,DK,L,100,EUR,88654,75000
,2021-01-01,Machine Learning Developer,SE,FL,60000,NG,NG,M,100,USD,60000,60000
,2021-01-01,Lead Data Engineer,SE,FT,75000,GB,GB,S,100,GBP,103160,75000
,2021-01-01,Machine Learning Engineer,MI,FT,75000,BE,BE,M,100,EUR,88654,75000
,2021-01-01,Data Scientist,MI,FT,75000,DE,DE,L,50,EUR,88654,75000
,2021-01-01,Data Science Manager,SE,FT,7000000,IN,IN,L,50,INR,94665,91000
,2021-01-01,Machine Learning Engineer,EN,FT,21844,CO,CO,M,50,USD,21844,21844
77,2021-01-01,BI Data Analyst,MI,FT,7956950,US,US,M,100,,,7956950
,2021-01-01,Business Data Analyst,MI,PT,56000,GH,US,M,100,USD,56000,56000
,2021-01-01,Data Scientist,EN,FT,42000,FR,FR,M,50,EUR,49646,42000
,2021-01-01,Data Scientist,MI,FT,40900,GB,GB,L,50,GBP,56256,40900
,2021-01-01,Data Engineer,SE,FT,150000,US,US,L,0,USD,150000,150000
,2021-01-01,Data Scientist,SE,FT,165000,US,US,L,100,USD,165000,165000
,2021-01-01,Data Architect,MI,FT,150000,US,US,L,100,USD,150000,150000
,2021-01-01,Data Scientist,MI,FT,150000,US,US,M,100,USD,150000,150000
,2021-01-01,BI Data Analyst,EX,FT,150000,IN,US,L,100,USD,150000,150000
,2021-01-01,Data Engineer,SE,FT,150000,US,US,M,100,USD,150000,150000
,2021-01-01,Data Engineer,SE,FT,153000,US,US,L,100,USD,153000,153000
,2021-01-01,Data Engineer,SE,FT,150000,US,US,L,100,USD,150000,150000
,2021-01-01,Data Engineer,SE,FT,165000,US,US,M,0,USD,165000,165000
,2021-01-01,Data Specialist,SE,FT,165000,US,US,L,100,USD,165000,165000
,2021-01-01,Principal Data Engineer,SE,FT,200000,US,US,M,100,USD,200000,200000
,2021-01-01,Data Engineer,MI,FT,200000,US,US,L,100,USD,200000,200000
,2021-01-01,Data Engineer,MI,FT,200000,US,US,L,100,USD,200000,200000
,2021-01-01,Principal Data Scientist,SE,FT,235000,US,US,L,100,USD,235000,235000
,2021-01-01,Research Scientist,MI,FT,235000,CA,CA,L,100,CAD,187442,235000
,2021-01-01,Head of Data,EX,FT,235000,US,US,L,100,USD,235000,235000
,2021-01-01,Machine Learning Engineer,MI,FT,40000,ES,ES,S,100,EUR,47282,40000
,2021-01-01,Data Scientist,MI,FT,39600,ES,ES,M,100,EUR,46809,39600
,2021-01-01,Applied Machine Learning Scientist,MI,FT,38400,VN,US,M,100,USD,38400,38400
,2021-01-01,Data Engineer,MI,FT,38400,NL,NL,L,100,EUR,45391,38400
,2021-01-01,Data Analyst,SE,FT,200000,US,US,L,100,USD,200000,200000
,2021-01-01,Data Engineer,SE,FT,200000,US,US,L,100,USD,200000,200000
,2021-01-01,Machine Learning Engineer,SE,FT,185000,US,US,L,50,USD,185000,185000
,2021-01-01,Staff Machine Learning Engineer,SE,FT,185000,US,US,M,50,USD,185000,185000
,2021-01-01,Data Science Lead,MI,FT,150000,US,US,M,100,USD,150000,150000
,2021-01-01,Machine Learning Engineer,MI,FT,43200,IT,IT,L,50,EUR,51064,43200
,2021-01-01,Data Analyst,SE,FT,50000,PH,PH,S,100,USD,50000,50000
,2021-01-01,Data Scientist,SE,FT,110000,CA,CA,S,100,CAD,87738,110000
,2021-01-01,Data Engineer,MI,FT,110000,US,US,L,100,USD,110000,110000
,2021-01-01,Head of Data Science,MI,FT,110000,US,US,S,0,USD,110000,110000
,2021-01-01,Data Engineer,SE,FT,82500,GB,GB,M,100,GBP,113476,82500
,2021-01-01,Data Scientist,MI,FT,82500,US,US,S,100,USD,82500,82500
,2021-01-01,Data Analytics Engineer,MI,FT,110000,US,US,L,100,USD,110000,110000
,2021-01-01,Autonomous Vehicle Technician,MI,FL,45555,AS,BS,M,50,USD,45555,45555
,2021-01-01,Data Engineer,MI,FT,110000,PL,PL,L,100,PLN,28476,110000
,2021-01-01,Data Scientist,MI,FT,109000,US,US,L,50,USD,109000,109000
,2021-01-01,Director of Data Science,EX,FT,110000,DE,DE,M,50,EUR,130026,110000
,2021-01-01,Data Analytics Manager,SE,FT,140000,US,US,L,100,USD,140000,140000
,2021-01-01,Data Engineer,MI,FT,140000,US,US,L,100,USD,140000,140000
,2021-01-01,Machine Learning Engineer,SE,FT,200000,US,US,L,100,USD,200000,200000
,2021-01-01,Head of Data,EX,FT,230000,RU,RU,L,50,USD,230000,230000
,2021-01-01,Research Scientist,SE,FT,50000,FR,US,S,100,USD,50000,50000
,2021-01-01,Data Analytics Engineer,SE,FT,50000,VN,GB,M,100,USD,50000,50000
,2021-01-01,Data Analyst,EN,FT,50000,FR,FR,M,50,EUR,59102,50000
,2021-01-01,Data Scientist,MI,FT,50000,NG,NG,L,100,USD,50000,50000
,2021-01-01,Data Analyst,EN,FT,50000,US,US,M,100,USD,50000,50000
,2021-01-01,Data Scientist,MI,FT,85000,GB,GB,L,50,GBP,116914,85000
,2021-01-01,Machine Learning Engineer,EN,FT,85000,NL,DE,S,100,USD,85000,85000
,2021-01-01,Head of Data Science,EX,FT,85000,RU,RU,M,0,USD,85000,85000
,2021-01-01,Computer Vision Software Engineer,MI,FT,81000,DE,US,S,100,EUR,95746,81000
,2021-01-01,Machine Learning Engineer,EN,FT,81000,US,US,S,50,USD,81000,81000
,2021-01-01,Data Scientist,SE,FT,45000,FR,FR,L,50,EUR,53192,45000
,2021-01-01,Finance Data Analyst,SE,FT,45000,GB,GB,L,50,GBP,61896,45000
,2021-01-01,Business Data Analyst,EN,FT,50000,LU,LU,L,100,EUR,59102,50000
,2021-01-01,Principal Data Engineer,SE,FT,185000,US,US,L,100,USD,185000,185000
,2021-01-01,Data Analytics Manager,SE,FT,120000,US,US,L,0,USD,120000,120000
,2021-01-01,Director of Data Science,EX,FT,120000,DE,DE,L,0,EUR,141846,120000
,2021-01-01,Data Science Consultant,EN,FT,54000,DE,DE,L,50,EUR,63831,54000
,2021-01-01,Data Science Engineer,MI,FT,34000,GR,GR,M,100,EUR,40189,34000
,2021-01-01,Data Engineer,EN,FT,55000,DE,DE,M,50,EUR,65013,55000
,2021-01-01,AI Scientist,SE,FT,55000,ES,ES,L,100,USD,55000,55000
,2021-01-01,BI Data Analyst,EN,FT,55000,US,US,S,50,USD,55000,55000
,2021-01-01,Data Engineer,EN,FT,33000,GB,GB,L,50,GBP,45390,33000
,2021-01-01,Data Scientist,EN,FT,80000,US,US,M,100,USD,80000,80000
,2021-01-01,Data Scientist,MI,FT,32000,ES,ES,L,100,EUR,37825,32000
,2021-01-01,Applied Data Scientist,EN,FT,80000,GB,GB,L,0,GBP,110037,80000
,2021-01-01,Data Engineer,EN,FT,80000,US,US,L,100,USD,80000,80000
,2021-01-01,Data Scientist,EN,FT,31000,FR,FR,L,50,EUR,36643,31000
,2021-01-01,Data Analyst,SE,FT,80000,BG,US,S,100,USD,80000,80000
,2021-01-01,Data Analyst,SE,FT,54000,DE,DE,L,50,EUR,63831,54000
,2021-01-01,Data Analyst,EN,FT,80000,US,US,M,100,USD,80000,80000
,2021-01-01,Data Engineer,MI,FT,100000,AU,AU,L,50,AUD,75050,100000
,2021-01-01,Research Scientist,MI,FT,80000,CA,CA,M,100,CAD,63810,80000
,2021-01-01,Principal Data Scientist,EX,CT,416000,US,US,S,100,USD,416000,416000
,2021-01-01,AI Scientist,MI,FT,30000,GH,GH,S,0,USD,30000,30000
,2021-01-01,Principal Data Scientist,MI,FT,151000,US,US,L,100,USD,151000,151000
,2021-01-01,Applied Machine Learning Scientist,MI,FT,423000,US,US,L,50,USD,423000,423000
,2021-01-01,Data Scientist,MI,FT,147000,US,US,L,50,USD,147000,147000
,2021-01-01,Principal Data Scientist,SE,FT,147000,DE,DE,M,100,EUR,173762,147000
